letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
166,3,11731,11732,¬,wer,dung,werdung,split,high,joined form unattested; both halves are real words,False,0,639,26,26528628,3,20577,sind nur alle Käufer nach der Bekannt wer¬ || dung jener verfluchten Inhibition davon ge
166,3,11735,11736,¬,hin,durch,hindurch,join,high,joined form occurs elsewhere in this corpus,False,1,,51,,519,,ulz frey - den wenn Sie etliche Jahre hin¬ || durch die Revenuen zur Abhorbirung der Sch
166,4,11756,11757,¬,Ver,d,Verd,join,high,"joined form attested in DWDS (2,144 hits)",False,0,2144,3,,292,,"worden, da leide ich wieder 2500 Rthl Ver¬ || d"
166,4,11771,11772,¬,Con,tucion,Contucion,split,high,joined form unattested; both halves are real words,False,0,0,1,96931,1,0,"urch ein ganzes Menschen Alter in der Con¬ || tucion fortdauerte, als es sonsten gescheh"
167,1,11785,11786,¬,Hochwohl,gebohren,Hochwohlgebohren,join,high,joined form occurs elsewhere in this corpus,False,52,,3,,2,,"ahren befehlen Sie mir nach Euer Hochwohl¬ || gebohren, unter Höchst Ihrer Empfehlung"
167,1,11787,11788,¬,Höchstdiesel,ben,Höchstdieselben,join,high,joined form occurs elsewhere in this corpus,False,18,,0,,9,,"anliegenden Brief zu senden. Höchstdiesel¬ || ben würden gerne selbst geschrieben, ha¬"
167,1,11788,11789,¬,ha,ben,haben,join,high,joined form occurs elsewhere in this corpus,False,544,,0,,9,,"ben würden gerne selbst geschrieben, ha¬ || ben, wenn nicht schon in einer Stunde die"
167,2,11798,11799,¬,voll,kommenster,vollkommenster,join,high,joined form occurs elsewhere in this corpus,False,5,,26,,1,,Gewogenheit und habe die Ehre in voll¬ || kommenster Verehrung zu beharren:
168,1,11814,11815,¬,hier,Durchlaucht,hierDurchlaucht,split,high,joined form unattested; both halves are real words,False,0,0,800,52795932,1511,6227,iese Tage gerichtl. abgeschloßen und hier¬ || Durchlaucht dadurch auf ewige Zeiten eine 
168,1,11817,11818,¬,Radremili,ändert,Radremiliändert,join,high,head is not a word on its own,False,0,0,0,0,2,,"ion mit v. Otocki, den der alte Radremili¬ || ändert alle Augenblick seine Meinung und w"
168,1,11820,11821,¬,Amelan,verspricht,Amelanverspricht,join,high,head is not a word on its own,False,0,0,0,35,22,,"wegen des Anlehns gute Nachrichten Amelan¬ || verspricht alles zu bewürken, ich soll ihm"
168,2,11832,11833,-,ei,ligst,eiligst,join,high,joined form occurs elsewhere in this corpus,False,13,,0,,1,,"ang eine Beſchreibung der ganzen Sache ei- || ligst überschickt, damit er dem H v Klewit"
168,2,11837,11838,-,Ar,beiten,Arbeiten,join,high,joined form occurs elsewhere in this corpus,False,31,,1,,1,, indes für mich daß ich bey den vielen Ar- || beiten noch gegen eine Wotte bösewichter K
168,2,11854,11856,¬,Win,Winnickischen,WinWinnickischen,catchword,high,fragment repeats the next page opening,True,0,,0,,1,,So haben zum Beispiel die Win¬ || Winnickischen Erben dermalen wieder
168,3,11869,11870,¬,den,ich,denich,split,high,joined form unattested; both halves are real words,False,0,414,2760,0,4451,255244905, Sache wird indes nichts herauskommen den¬ || ich kenne den Curator
168,4,11901,11902,-,Justiti,ariat,Justitiariat,join,high,head is not a word on its own,False,0,572,0,0,1,,rmuthlich sein Engagement und das Justiti- || ariat aufgeben - ich muß nun diesen Kerl a
169,1,11927,11928,¬,ab,den,abden,split,high,joined form unattested; both halves are real words,False,0,55,96,49097723,2760,0,rieden sein will. Schägt man dies auch ab¬ || den muß ich auf andere Mittel denken - und
169,3,11983,11984,¬,puri,renen,purirenen,split,high,joined form unattested; both halves are real words,False,0,0,0,5773,1,890," bey den Taxen so wegen - Es bleiben puri¬ || renen Zinsen, da bedarf es keiner Revision"
169,4,11994,11995,¬,ver,sezt,versezt,join,high,joined form occurs elsewhere in this corpus,False,5,,3,,7,,pothique von Olesnica bey Oppenheimer ver¬ || sezt hat darüber lernt der Mensch und schr
169,4,12008,12009,¬,ge,funden,gefunden,join,high,joined form occurs elsewhere in this corpus,False,12,,22,,5,,"avor daß Sprengel seine 18 Morgen will ge¬ || funden haben, sollen Sie den Kerl wieder b"
170,1,12022,12023,¬,Erthe,Schweiner,ErtheSchweiner,join,high,head is not a word on its own,False,0,0,0,0,5,,"Senabend nach Euer Hochwohlgebohren Erthe¬ || Schweiner, um dort mit dem Amtmann Käufer "
170,1,12026,12027,¬,Auf,trag,Auftrag,join,high,joined form occurs elsewhere in this corpus,False,11,,1039,,4,, zurück. Lezteren erklärte ich meinen Auf¬ || trag den ich an ihm hätte ganz in der Art 
170,1,12028,12029,¬,son,dere,sondere,join,high,"joined form attested in DWDS (26,355,418 hits)",False,0,26355418,0,,1,,"r, er schien darüber nicht betroffen, son¬ || dere forschte darnach, wer ihm bey Sr Durc"
170,1,12033,12034,¬,entge,gengesetzten,entgegengesetzten,join,high,"joined form attested in DWDS (97,942 hits)",False,0,97942,0,,1,,"hnen, da er sähe, daß man bey einer entge¬ || gengesetzten Handlungsweise, nie sicher wä"
170,2,12047,12048,¬,Hoch,wohlgebohren,Hochwohlgebohren,join,high,joined form occurs elsewhere in this corpus,False,52,,21,,2,,"iner Handlungen entgegen sehen. Euer Hoch¬ || wohlgebohren, berichte ich dieses alles eb"
171,1,12064,12065,¬,Vorsche,rung,Vorscherung,join,high,head is not a word on its own,False,0,0,0,11,6,,"erlaube ich mir, denenselben, die Vorsche¬ || rung zuertheilen, daß Sr Durchlaucht"
171,1,12068,12069,¬,ge,schwollen,geschwollen,join,high,joined form occurs elsewhere in this corpus,False,1,,22,,1,,"sind, der Fuß ist nur wenig mehr ge¬ || schwollen, und verursacht keine Schmer¬"
171,1,12069,12070,¬,Schmer,zen,Schmerzen,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,1,,"schwollen, und verursacht keine Schmer¬ || zen. Er durchlaucht wollen sich bestens em"
171,1,12072,12073,¬,Kay,sers,Kaysers,join,high,joined form occurs elsewhere in this corpus,False,8,,0,,2,,"artige Benehmen Sr Majestät, des Kay¬ || sers nach mehr Vergnügen hervorgebracht"
171,2,12077,12078,¬,schmeichel,haftesten,schmeichelhaftesten,join,high,"joined form attested in DWDS (77,161 hits)",False,0,77161,0,,1,,reslau soll der Kayser mit den schmeichel¬ || haftesten Ausdrüken von Sr. Durchlaucht
171,2,12080,12081,-,Hehen,Lohn,HehenLohn,join,high,head is not a word on its own,False,0,0,0,79,9,,"Heute marschirte das Regiment Hehen- || Lohn hier durch, der Fürst war ihm entge¬"
171,2,12081,12082,¬,entge,gengeritten,entgegengeritten,join,high,head is not a word on its own,False,0,594,0,259,1,,"Lohn hier durch, der Fürst war ihm entge¬ || gengeritten. Morgen wird der Herzog"
171,2,12086,12087,¬,behar,ren,beharren,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,6,,unbegrenztesten Hochachtung zu behar¬ || ren.
172,1,12112,12113,¬,ge,fertiget,gefertiget,join,high,joined form occurs elsewhere in this corpus,False,3,,22,,2,,n Principien unterm 2 Septr. a. pr. zu ge¬ || fertiget hat. So wohl bey diesen als auch 
172,2,12116,12117,¬,compro,mittirt,compromittirt,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,2,,"en kommen laßen, und das Collegium compro¬ || mittirt, dagegen hat sich das Fürstl Domin"
172,2,12129,12130,¬,Mona,Kunckel,MonaKunckel,split,high,joined form unattested; both halves are real words,False,0,0,0,197629,11,4952,"bald fertig zu werden, den heute ist Mona¬ || Kunckel durch den Landreuter abgehohlt, un"
172,2,12135,12136,¬,ver,langen,verlangen,join,high,joined form occurs elsewhere in this corpus,False,12,,3,,11,,der die Winnichische Erbe geklagt und ver¬ || langen noch 1300 Rthl rückstänkige Vermest
173,1,12159,12160,¬,Auf,trag,Auftrag,join,high,joined form occurs elsewhere in this corpus,False,11,,1039,,4,,"dem Justiz Bürgermeister Schenck, den Auf¬ || trag gemacht sämtlich dort vorhandene Papi"
173,2,12180,12181,¬,Dismembrationi,Plan,DismembrationiPlan,join,high,head is not a word on its own,False,0,0,0,0,92,,r seine Protocolle bey den Dismembrationi¬ || Plan habe ich ihm ſchon 900 rtum baar zahl
173,2,12185,12186,¬,diamembra,tions,diamembrations,join,high,head is not a word on its own,False,0,0,0,0,2,," dem von Landrath eingereichten diamembra¬ || tions Plänen, und nach diesen erhalte ich "
173,3,12204,12205,¬,ver,schaffen,verschaffen,join,high,joined form occurs elsewhere in this corpus,False,13,,3,,50,,laucht den lezt ihm gemeldeten Nuzzen ver¬ || schaffen zu können.
173,4,12227,12228,¬,appro,biren,approbiren,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,1,,anne Nahmens Brauer wolte Sie gerne appro¬ || biren - Sie könten den Punckt aber darin n
174,1,12257,12258,¬,ge,blacht,geblacht,split,high,joined form unattested; both halves are real words,False,0,13,22,215421,1,6,"ets apparte gelohnt, und bey jeden Act ge¬ || blacht werde dies Betrug jährlich wohl 200"
174,2,12284,12285,-,unge,schaut,ungeschaut,split,high,joined form unattested; both halves are real words,False,0,392,0,3502,1,6341501,"n und die Kerls wurden nicht so ganz unge- || ﻿schaut forthin betrügen, den einen Fürste"
174,3,12315,12316,-,Baum,In,BaumIn,split,high,joined form unattested; both halves are real words,False,0,46,7,3859177,1855,0,er eine hübsche Arme bereits auf den Baum- || In unser Gegend das ist bey Knon und bis O
175,1,12338,12339,¬,anlie,genden,anliegenden,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,2,,"em Befehl Euer Hochwohlgebohren die anlie¬ || genden Piecen zu übersenden, wovon das ein"
175,1,12342,12343,¬,die,sen,diesen,join,high,joined form occurs elsewhere in this corpus,False,224,,4570,,11,,"dern Meinung zuschreiben, und was in die¬ || sen Sachen zu thun ist, besonders draengen"
175,1,12346,12347,¬,wür,den,würden,join,high,joined form occurs elsewhere in this corpus,False,113,,0,,2760,,"öpft wurde, nicht etwas im bloßen, so wür¬ || den Höchst Sie sogleich die erforderliche "
176,1,12361,12362,¬,ge,horsamst,gehorsamst,join,high,joined form occurs elsewhere in this corpus,False,35,,22,,1,,"wohlgebohren, melde ich hierdurch ganz ge¬ || horsamst, daß gestern Nachmittag und"
176,1,12363,12364,¬,Abla,ben,Ablaben,split,high,joined form unattested; both halves are real words,False,0,0,0,1333,9,704469,hr p Ehtafette die Nachricht von dem Abla¬ || ben des regierenden Fürsten zu Hohenlohe
176,1,12368,12369,¬,Rathlauf,das,Rathlaufdas,join,high,head is not a word on its own,False,0,0,0,0,1288,,en 24ten selbigen Monats von dem Rathlauf¬ || das eine gewönliche Krankheit bey Ihm war¬
176,1,12369,12370,¬,war,befallen,warbefallen,split,high,joined form unattested; both halves are real words,False,0,0,245,835493046,1,247859,"das eine gewönliche Krankheit bey Ihm war¬ || befallen, und endete durch einen hinzugetr"
176,1,12370,12371,¬,hinzugetra,tenen,hinzugetratenen,join,high,head is not a word on its own,False,0,0,0,0,1,,"fallen, und endete durch einen hinzugetra¬ || tenen Schlagfluß, den 27."
176,2,12374,12375,¬,Oehrin,gen,Oehringen,join,high,head is not a word on its own,False,0,234,0,0,60,,"in Fraues und rähmliches Leben. In Oehrin¬ || gen, so wie in allen hohenlehischen Orten "
176,2,12375,12376,¬,die,ses,dieses,join,high,joined form occurs elsewhere in this corpus,False,118,,4570,,2,," so wie in allen hohenlehischen Orten die¬ || ses Stammtheils, wurde sogleich, laut dem"
176,2,12384,12385,¬,Par,tage,Partage,split,high,joined form unattested; both halves are real words,False,0,287,5,77361,121,709139,"einen gewissen falsch verstandenen Par¬ || tage Traktat gründen, zu üben, allein"
176,2,12386,12387,¬,Ingel,finger,Ingelfinger,join,high,head is not a word on its own,False,0,100,0,337,1,,"es wurde von den Aufaenger der Ingel¬ || finger Seite mannlich widerstanden, die"
176,2,12388,12389,¬,Ingel,fingischen,Ingelfingischen,join,high,head is not a word on its own,False,0,0,0,337,1,,"Trouppen zurückgewiesen, und die Ingel¬ || fingischen Besitz-Ergreifungs Patente-"
176,2,12389,12391,-,Patente,angeschlagen,Patenteangeschlagen,split,review,crosses a page break - check by hand,True,0,0,0,409120,2,223897,"fingischen Besitz-Ergreifungs Patente- || angeschlagen, auch da, wo man sich von der"
176,3,12391,12392,¬,gegen,nerischen,gegennerischen,split,high,joined form unattested; both halves are real words,False,0,0,167,52310143,1,33,"lagen, auch da, wo man sich von der gegen¬ || nerischen Seite beygehen lies - welche anz"
176,3,12393,12394,¬,Jugel,fingische,Jugelfingische,split,high,joined form unattested; both halves are real words,False,0,0,0,2198,1,0,wurden sie wieder abgenommen und Jugel¬ || fingische dagegen angebracht. So statt die
176,3,12396,12397,¬,nunmehri,gen,nunmehrigen,join,high,"joined form attested in DWDS (22,506 hits)",False,0,22506,0,,60,,"die Ankunft Sr. Durchlaucht, als nunmehri¬ || gen Herrn der blühendsten Fluren Fran¬"
176,3,12397,12398,¬,Fran,kens,Frankens,join,high,"joined form attested in DWDS (3,012,789 hits)",False,0,3012789,0,,1,,"gen Herrn der blühendsten Fluren Fran¬ || kens Höchstdieselben werden, auch die Reiß"
176,3,12398,12399,¬,Reiß,dahin,Reißdahin,split,high,joined form unattested; both halves are real words,False,0,0,1,1415026,96,2143097,"ens Höchstdieselben werden, auch die Reiß¬ || dahin im Monat September antretten, wenn"
176,3,12403,12404,¬,Ein,sicht,Einsicht,join,high,joined form occurs elsewhere in this corpus,False,3,,815,,4,, so mehr Euer Hochwohlgebohren weisen Ein¬ || sicht alle südpreußischen Angelegenheiten
177,1,12429,12430,¬,alles,indes,allesindes,split,high,joined form unattested; both halves are real words,False,0,0,729,125477951,196,113652,"n zu erhalten. Eingeleitet ist dies alles¬ || indes kan ich das Dings nicht abwarten, so"
177,2,12464,12466,¬,be,benennung,bebenennung,catchword,high,fragment repeats the next page opening,True,0,,3,,1,,e. Feld Marschall Mollendorf soll Haus be¬ || benennung der neuen Dörfer die durch die D
177,3,12466,12467,¬,Dis,membration,Dismembration,join,high,joined form occurs elsewhere in this corpus,False,22,,10,,1,,"ennung der neuen Dörfer die durch die Dis¬ || membration bey Zagorowo, und Trąbzyn entst"
177,4,12520,12521,¬,Con,tractmäßig,Contractmäßig,split,high,joined form unattested; both halves are real words,False,0,0,1,96931,1,0,Ihre Weide und Holzkläzige Con¬ || tractmäßig bestimmt.
177,4,12522,12524,,Geldern,Gelder,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Geldern || Gelder sind erst eingegangen 7130 Rthl dav
177,6,12550,12551,¬,tilgt,so,tilgtso,split,high,joined form unattested; both halves are real words,False,0,0,0,139385,1515,141594268,und nach aus den Revenuen der Güter tilgt¬ || so wie ich hier das Vorwerck verpachtet un
177,7,12557,12558,¬,Leiten,Die,LeitenDie,split,high,joined form unattested; both halves are real words,False,0,0,19,30085,4570,0,von Braunschweig aber das ganze Leiten¬ || Die Nachrichten welche ich schon vor 8 Woc
178,1,12590,12591,¬,Hochwohlge,bohren,Hochwohlgebohren,join,high,joined form occurs elsewhere in this corpus,False,52,,0,,5,,"ngepakt habe, und die für Euer Hochwohlge¬ || bohren bestimmt waren. Dieſelben werden"
178,1,12592,12593,¬,denensel,ben,denenselben,join,high,joined form occurs elsewhere in this corpus,False,31,,0,,9,," dis Versehen verzeihen, wem ich denensel¬ || ben sage, daß ich die leztern Nächte vor d"
178,1,12594,12595,¬,Cammer,Director,CammerDirector,split,high,joined form unattested; both halves are real words,False,0,0,30,2764,20,222025,"breiße keine Ruhe hatte, indem der Cammer¬ || Director Graf aus Behringen nach dort anka"
178,1,12596,12598,¬,aus,gemacht,ausgemacht,join,review,crosses a page break - check by hand,True,3,1280254,543,171904164,119,67278827,"alles was das Heheelohischen angrenge aus¬ || gemacht werden sollte, ehe die Reiße ange¬"
178,2,12598,12599,¬,ange,treten,angetreten,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,16,,"gemacht werden sollte, ehe die Reiße ange¬ || treten würde, die übrigen Chartes blanches"
179,1,12617,12618,¬,ent,fernt,entfernt,join,high,joined form occurs elsewhere in this corpus,False,9,,1,,1,,", daß ich von Ewr Durchlaucht so weit ent¬ || fernt leben und ſo ſelte Nachricht haben ſ"
179,2,12642,12643,¬,ab,gezahlt,abgezahlt,join,high,joined form occurs elsewhere in this corpus,False,1,,96,,23,,ne Reihe von Jahre dazu bis alles rein ab¬ || gezahlt werden wird.
179,4,12695,12696,¬,ledig,Den,ledigDen,split,high,joined form unattested; both halves are real words,False,0,0,0,85027,2760,0,en den entehrenden Prozeßen los und ledig¬ || Den Amortisations Pläne habe ich zu dem En
179,5,12731,12732,¬,zuge,sagt,zugesagt,join,high,joined form occurs elsewhere in this corpus,False,17,,2,,103,,"er Voigtey, und den 300 Morgen Wald, zuge¬ || sagt hätten, geschenkt - dies sey den doch"
179,6,12748,12749,¬,an,den,anden,join,high,"joined form attested in DWDS (60,650 hits)",False,0,60650,992,,2760,,tinenz von der Herrschaft Betschen die an¬ || den Unterthanen verkauft ist - es sey nun 
179,7,12780,12781,¬,wie,diese,wiediese,split,high,joined form unattested; both halves are real words,False,0,71,514,152403535,480,216259470,o sehe ich noch keine Möglichkeit ein wie¬ || diese so schnell ſchaffen ſoll. Erhalte ic
179,7,12782,12783,¬,wen,alle,wenalle,split,high,joined form unattested; both halves are real words,False,0,0,9,0,396,125477951,t zwar viel - allen das geht rein auf wen¬ || alle Schulden bezahlt würden sollen. Lezte
179,8,12817,12818,-,antwor,den,antworden,join,high,head is not a word on its own,False,0,24,0,228,2760,,te und allen fals zu Estaffette zu antwor- || den sonsten muß ich hier zu lange vergebli
179a,3,12924,12925,¬,gewür,diget,gewürdiget,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,2,,ortrag einer Allergnädigste Ansicht gewür¬ || diget wird.
179a,4,12962,12963,¬,bestim,menden,bestimmenden,join,high,"joined form attested in DWDS (120,555 hits)",False,0,120555,1,,1,,"ne in Successive, höchsten Orts zu bestim¬ || menden Ratis geschehen laßen,"
179a,4,12965,12966,¬,haf,tende,haftende,join,high,joined form occurs elsewhere in this corpus,False,5,,0,,1,,"uf den Gütern für die Invaliden Casse haf¬ || tende Ingrossat von 50000 Rthl, ferner dar"
179a,6,12995,12996,¬,befriedigen,den,befriedigenden,join,high,"joined form attested in DWDS (200,644 hits)",False,0,200644,20,,2760,,"isten zu laßen, mit meinen zu befriedigen¬ || den Gläubigern Alles Nöthige gerichtlich o"
179a,6,13002,13003,¬,depo,lito,depolito,split,high,joined form unattested; both halves are real words,False,0,0,0,2212,1,1707,"htlich deponirten Gelder wiederum ex depo¬ || lito zu erheben, überhaupt Alles zu thun, "
180,2,13037,13038,-,diene,könte,dienekönte,split,high,joined form unattested; both halves are real words,False,0,0,0,5096363,97,910,"cht die Mandatarien Ewr Durchlaucht diene- || könte ich allgegenwärtig sein, so solten k"
180,2,13042,13043,-,Ge,meinden,Gemeinden,join,high,joined form occurs elsewhere in this corpus,False,8,,22,,1,,"n, und thut er daß nicht, so werde die Ge- || meinden, die jezt für alles responsable se"
180,2,13055,13056,-,sezge,alles,sezgealles,join,high,head is not a word on its own,False,0,0,0,0,729,,"nur einmahl beendigt würde, den ich sezge- || alles meine hintenz und erlebe noch das nu"
182,1,13070,13071,¬,ver,ehrtes,verehrtes,join,high,joined form occurs elsewhere in this corpus,False,8,,3,,1,,Ewr Hochfürstliche Durchlaucht höchst ver¬ || ehrtes Schreiben von 11 ten dieses
182,1,13088,13089,¬,be,vollmächtigten,bevollmächtigten,join,high,joined form occurs elsewhere in this corpus,False,3,,3,,1,,"chrieben, den Hof Fiscal Pochammer als be¬ || vollmächtigten empfohlen, damit er nur ein"
182,2,13092,13093,¬,ent,nehmen,entnehmen,join,high,joined form occurs elsewhere in this corpus,False,7,,1,,128,," Ewr Durchlaucht daraus die Demarchen ent¬ || nehmen können, welche ich allewege einschl"
182,3,13114,13115,¬,Vollmacht,und,Vollmachtund,split,high,joined form unattested; both halves are real words,False,0,0,89,160124,5259,1133103472,"ftsgang führe, und wan dazu die Vollmacht¬ || und andere Papiere fehlen, dan geräth alle"
182,3,13121,13122,¬,aner,der,anerder,split,high,joined form unattested; both halves are real words,False,0,0,0,2487,3841,0,"seine Lügen irre, und im Ende ist er aner¬ || der erste der die Hand ausstreckt."
182,3,13131,13132,¬,Zeug,niße,Zeugniße,join,high,joined form occurs elsewhere in this corpus,False,1,,7,,1,,"Jahr voraus weg - Titel, und falsche Zeug¬ || niße aber werde ich ihm nie gewähren. Ich "
182,4,13153,13154,¬,Un,terkommen,Unterkommen,join,high,"joined form attested in DWDS (3,181 hits)",False,0,3181,5,,1,,"en, sich in seinen wünsche angemeßenes Un¬ || terkommen zu suchen."
183,1,13166,13167,¬,Wenig,keit,Wenigkeit,join,high,joined form occurs elsewhere in this corpus,False,1,,57,,10,," sehr angegriffen, und selbst meine Wenig¬ || keit komt in Ihrer Geschichte vor"
184,1,13182,13183,¬,ver,gessen,vergessen,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,1,,"neulich bey Abgang der Eßtaffette ver¬ || gessen worden; Euer Hochwohlgebohren,"
184,1,13185,13186,¬,Gna,den,Gnaden,join,high,joined form occurs elsewhere in this corpus,False,20,,0,,2760,,"Ich empfehle mich Denenselben zu Gna¬ || den, und wünsche, daß dieselben ver¬"
184,1,13186,13187,¬,ver,gnügter,vergnügter,join,high,"joined form attested in DWDS (33,627 hits)",False,0,33627,3,,1,,"den, und wünsche, daß dieselben ver¬ || gnügter als ich leben mögten; denn ich"
184,1,13192,13193,¬,glük,lich,glüklich,split,high,joined form unattested; both halves are real words,False,0,173,4,215,14,61677,seyen noch so verdienstlos — dennoch glük¬ || lich gemacht werden. Mich ehrlichen Teufel
184,2,13198,13199,¬,no,unhold,nounhold,split,high,joined form unattested; both halves are real words,False,0,0,5,147175,1,518,"aber wenn das Glück mir nicht ganz no¬ || unhold ist, werde ich mich aus eigener Kra"
184,2,13200,13201,¬,min,intressirte,minintressirte,split,high,joined form unattested; both halves are real words,False,0,0,8,1219273,1,0,"loswinden, da man alle treue min¬ || intressirte Dienste vergessen zu haben sch"
184,2,13203,13204,¬,fünd,Hochwohlgebohren,fündHochwohlgebohren,join,high,head is not a word on its own,False,0,0,0,97,52,,"ieselben, als daß ich glauben konnte fünd¬ || Hochwohlgebohren würden irgend von"
184,2,13205,13206,¬,ma,chen,machen,join,high,joined form occurs elsewhere in this corpus,False,181,,1,,4,,dem Ausbruch meines Herzens Gebrauch ma¬ || chen; aber etwas mußte ich dieselben
184,2,13207,13208,¬,ver,führt,verführt,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,9,,"doch fühlen lassen, wie man mit mir ver¬ || führt. Die treuſte Verehrung bleibt"
185,1,13216,13217,¬,er,betene,erbetene,join,high,joined form occurs elsewhere in this corpus,False,1,,1274,,1,,"die von Ewr Hochfürstliche Durchlaucht er¬ || betene Vollmachten und Blanquets entgegen,"
188,1,13345,13346,¬,ge,liegt,geliegt,split,high,joined form unattested; both halves are real words,False,0,38,22,215421,44,29311974,rs H. Weigel hier bezahlt - Vorzüglich ge¬ || liegt es mir die bey Oppenheimer versezte 
188,1,13356,13357,¬,Geschrey,Überhaupt,GeschreyÜberhaupt,split,high,joined form unattested; both halves are real words,False,0,0,2,224,24,6881542, um ihre bagatellen das mehreste Geschrey¬ || Überhaupt bin ich diesmahl in einen Gedrän
188,2,13375,13376,¬,flei,ßiger,fleißiger,join,high,"joined form attested in DWDS (908,791 hits)",False,0,908791,0,,1,,"n, ob Schenck eine Can: oder ehrlich flei¬ || ßiger Kerl gewesen ist. Den er hatt den Au"
188,3,13387,13388,¬,mehr,Nach,mehrNach,split,high,joined form unattested; both halves are real words,False,0,22,271,85557928,878,156778084,und da er dies hat so thut er nichts mehr¬ || Nach gerade gebe ich die Hoffnung auf mehr
188,3,13388,13389,¬,Men,ſchen,Menſchen,join,high,joined form occurs elsewhere in this corpus,False,155,,2,,4,,die Hoffnung auf mehr einen ehrlichen Men¬ || ſchen aufzufinden.
188,3,13390,13391,¬,geht,Ehrfurchts,gehtEhrfurchts,split,high,joined form unattested; both halves are real words,False,0,0,116,66053566,5,5, in Trąbczyn alles glücklich und gut geht¬ || Ehrfurchts ersterbe als
189,1,13403,13404,¬,Ober,schlesien,Oberschlesien,join,high,"joined form attested in DWDS (7,637 hits)",False,0,7637,52,,21,,"mir die Befehle, zur Reiße nach Ober¬ || schlesien zuzog, und die Angelegenhei¬"
189,1,13404,13405,¬,Angelegenhei,ten,Angelegenheiten,join,high,joined form occurs elsewhere in this corpus,False,56,,0,,468,,"schlesien zuzog, und die Angelegenhei¬ || ten dieser Herrschafft in Gemein¬"
189,1,13405,13406,¬,Gemein,schafft,Gemeinschafft,split,high,joined form unattested; both halves are real words,False,0,109,3,426150,3,13710425,ten dieser Herrschafft in Gemein¬ || schafft mit denen Herrn Inspector
189,2,13412,13413,¬,Ge,schäffts,Geschäffts,split,high,joined form unattested; both halves are real words,False,0,6,22,215421,1,1190,"als rechtschaffene und einsichtsvolle Ge¬ || schäffts-Männer bekannt sind, bin"
189,2,13415,13416,¬,zu,rück,zurück,join,high,joined form occurs elsewhere in this corpus,False,185,,2989,,15,,"nach Breslau und von da in das Reich zu¬ || rück. Schlesien zu verlassen, ohne"
189,2,13420,13421,¬,Er,laubnis,Erlaubnis,join,high,joined form occurs elsewhere in this corpus,False,9,,1274,,2,,selben ganz gehorsamst und die Er¬ || laubnis — Sie in Trąbczyn besuchen
190,1,13449,13450,¬,Rewek,zusenden,Rewekzusenden,join,high,head is not a word on its own,False,0,0,0,0,6,,lanche zur Antwort an den H. von Rewek[?]¬ || zusenden; dieselben mögten die Gewogen¬
190,1,13450,13451,¬,Gewogen,heit,Gewogenheit,join,high,joined form occurs elsewhere in this corpus,False,7,,0,,11,,"zusenden; dieselben mögten die Gewogen¬ || heit haben, und sie nach dero Ansicht aus¬"
190,1,13451,13452,¬,aus,fertigen,ausfertigen,join,high,joined form occurs elsewhere in this corpus,False,7,,543,,3,,"heit haben, und sie nach dero Ansicht aus¬ || fertigen laſsem. Auch den Auszüg aus"
190,1,13456,13457,¬,Specu,lations,Speculations,join,high,head is not a word on its own,False,0,37,0,0,1,,"immer reger aber um so unsinniger Specu¬ || lations - Geist, sein Leichtsinn und seine"
190,1,13460,13461,¬,Fürsten,als,Fürstenals,split,high,joined form unattested; both halves are real words,False,0,0,237,391074,802,194706499,steth. Sowohl der Großmuth des Fürsten¬ || als auch der Euer Hochwohlgebohren bleibt
190,2,13466,13467,¬,Handlungs,weise,Handlungsweise,join,high,joined form occurs elsewhere in this corpus,False,3,,1,,32,,"fordern dieselben, zu gleicher Handlungs¬ || weise hierdurch auf; und ich müßte dero"
190,2,13469,13470,¬,für,sten,fürsten,join,high,joined form occurs elsewhere in this corpus,False,237,,610,,10,,"kennen, wenn Sie dem Wunsche des für¬ || sten in dieser Hinsicht nicht entsprochen"
190,2,13479,13480,¬,Post,Tage,PostTage,split,high,joined form unattested; both halves are real words,False,0,0,101,3879679,121,709139,Mannes willen; die mit jedem Post¬ || Tage anlangen. Schlägt der Glenck¬
190,2,13480,13481,¬,Glenck,die,Glenckdie,split,high,joined form unattested; both halves are real words,False,0,0,112,583,4570,0,Tage anlangen. Schlägt der Glenck¬ || die vielleicht nöthigen Bedingungen
190,3,13487,13488,¬,Ver,setzen,Versetzen,join,high,"joined form attested in DWDS (13,570 hits)",False,0,13570,3,,3,,"Zahlungs-Ausflucht sezt, habe ich zum Ver¬ || setzen, von Habseeligkeiten und zum Kleide"
